primaryName,avgRating,filmsCount,qualityIndex
Ron Shelton,6.08,9,54.72
Jason Reitman,6.81,8,54.48
David Newman,6.8,8,54.4
Stirling Silliphant,6.79,8,54.32
Glenn Ficarra,6.03,9,54.27
Peter Tolan,6.03,9,54.27
John Requa,6.03,9,54.27
Allison Burnett,6.01,9,54.09
Alexander Payne,6.76,8,54.08
Gary Dauberman,6.0,9,54.0
Akira Toriyama,6.73,8,53.84
David Ronn,5.38,10,53.8
Jay Scherick,5.38,10,53.8
Erich Hoeber,5.97,9,53.73
Jon Hoeber,5.97,9,53.73
William Monahan,6.71,8,53.68
Don Jakoby,5.96,9,53.64
Luv Ranjan,6.7,8,53.6
Nicolas Winding Refn,6.69,8,53.52
Gus Van Sant,6.69,8,53.52
Karthik Subbaraj,6.68,8,53.44
Phil Hay,5.93,9,53.37
Matt Manfredi,5.93,9,53.37
Kôji Suzuki,5.93,9,53.37
Neal Israel,5.33,10,53.3
Dan Gordon,6.66,8,53.28
Eddie Murphy,5.92,9,53.28
Carey W. Hayes,5.87,9,52.83
Chad Hayes,5.87,9,52.83
Marc Lawrence,5.87,9,52.83
James Gray,6.6,8,52.8
Bruce Joel Rubin,6.6,8,52.8
Nicholas Kazan,6.6,8,52.8
James DeMonaco,5.86,9,52.74
Evan Spiliotopoulos,5.86,9,52.74
Maya Forbes,6.59,8,52.72
Josh Friedman,6.58,8,52.64
Ira Levin,6.58,8,52.64
Bill Collage,5.84,9,52.56
Jason Friedberg,4.02,13,52.26
Aaron Seltzer,4.02,13,52.26
Jeb Stuart,6.52,8,52.16
Patrick Melton,5.77,9,51.93
Marcus Dunstan,5.77,9,51.93
Adam Brooks,6.48,8,51.84
Chris Columbus,6.46,8,51.68
Mark L. Smith,6.45,8,51.6
Craig Mazin,5.73,9,51.57
Larry Gross,6.43,8,51.44
Chuck Pfarrer,5.71,9,51.39
John Brancato,5.7,9,51.3
Rob Zombie,5.7,9,51.3
Andrew Bergman,6.41,8,51.28
Don Roos,6.4,8,51.2
Shay Hatten,6.37,8,50.96
Brian Koppelman,6.37,8,50.96
